# Generated with d93_to_srgb_lut.py
# Does 2.2 to 2.4-ish gamma and d93 color

0, 0, 0
1, 1, 1
2, 2, 2
3, 3, 3
4, 4, 4
4, 5, 5
5, 6, 6
6, 7, 7
7, 7, 8
8, 8, 9
9, 9, 10
10, 10, 11
11, 11, 12
11, 12, 13
12, 13, 14
13, 14, 15
14, 15, 16
15, 16, 17
16, 17, 18
17, 18, 19
18, 19, 20
19, 20, 21
19, 20, 22
20, 21, 23
21, 22, 24
22, 23, 25
23, 24, 26
24, 25, 27
25, 26, 28
26, 27, 29
26, 28, 30
27, 29, 31
28, 30, 32
29, 31, 33
30, 32, 34
31, 33, 35
32, 33, 36
33, 34, 37
34, 35, 38
34, 36, 39
35, 37, 40
36, 38, 41
37, 39, 42
38, 40, 43
39, 41, 44
40, 42, 45
41, 43, 46
41, 44, 47
42, 45, 48
43, 46, 49
44, 46, 50
45, 47, 51
46, 48, 52
47, 49, 53
48, 50, 54
49, 51, 55
49, 52, 56
50, 53, 57
51, 54, 58
52, 55, 59
53, 56, 60
54, 57, 61
55, 58, 62
56, 59, 63
56, 59, 64
57, 60, 65
58, 61, 66
59, 62, 67
60, 63, 68
61, 64, 69
62, 65, 70
63, 66, 71
64, 67, 72
64, 68, 73
65, 69, 74
66, 70, 75
67, 71, 76
68, 72, 77
69, 72, 78
70, 73, 79
71, 74, 80
71, 75, 81
72, 76, 82
73, 77, 83
74, 78, 84
75, 79, 85
76, 80, 86
77, 81, 87
78, 82, 88
79, 83, 89
79, 84, 90
80, 85, 91
81, 86, 92
82, 86, 93
83, 87, 94
84, 88, 95
85, 89, 96
86, 90, 97
86, 91, 98
87, 92, 99
88, 93, 100
89, 94, 101
90, 95, 102
91, 96, 103
92, 97, 104
93, 98, 105
94, 99, 106
94, 99, 107
95, 100, 108
96, 101, 109
97, 102, 110
98, 103, 111
99, 104, 112
100, 105, 113
101, 106, 114
101, 107, 115
102, 108, 116
103, 109, 117
104, 110, 118
105, 111, 119
106, 112, 120
107, 112, 121
108, 113, 122
109, 114, 123
109, 115, 124
110, 116, 125
111, 117, 126
112, 118, 127
113, 119, 128
114, 120, 129
115, 121, 130
116, 122, 131
116, 123, 132
117, 124, 133
118, 125, 134
119, 125, 135
120, 126, 136
121, 127, 137
122, 128, 138
123, 129, 139
124, 130, 140
124, 131, 141
125, 132, 142
126, 133, 143
127, 134, 144
128, 135, 145
129, 136, 146
130, 137, 147
131, 138, 148
131, 138, 149
132, 139, 150
133, 140, 151
134, 141, 152
135, 142, 153
136, 143, 154
137, 144, 155
138, 145, 156
139, 146, 157
139, 147, 158
140, 148, 159
141, 149, 160
142, 150, 161
143, 151, 162
144, 151, 163
145, 152, 164
146, 153, 165
146, 154, 166
147, 155, 167
148, 156, 168
149, 157, 169
150, 158, 170
151, 159, 171
152, 160, 172
153, 161, 173
154, 162, 174
154, 163, 175
155, 164, 176
156, 165, 177
157, 165, 178
158, 166, 179
159, 167, 180
160, 168, 181
161, 169, 182
161, 170, 183
162, 171, 184
163, 172, 185
164, 173, 186
165, 174, 187
166, 175, 188
167, 176, 189
168, 177, 190
169, 178, 191
169, 178, 192
170, 179, 193
171, 180, 194
172, 181, 195
173, 182, 196
174, 183, 197
175, 184, 198
176, 185, 199
176, 186, 200
177, 187, 201
178, 188, 202
179, 189, 203
180, 190, 204
181, 191, 205
182, 191, 206
183, 192, 207
184, 193, 208
184, 194, 209
185, 195, 210
186, 196, 211
187, 197, 212
188, 198, 213
189, 199, 214
190, 200, 215
191, 201, 216
191, 202, 217
192, 203, 218
193, 204, 219
194, 204, 220
195, 205, 221
196, 206, 222
197, 207, 223
198, 208, 224
199, 209, 225
199, 210, 226
200, 211, 227
201, 212, 228
202, 213, 229
203, 214, 230
204, 215, 231
205, 216, 232
206, 217, 233
206, 217, 234
207, 218, 235
208, 219, 236
209, 220, 237
210, 221, 238
211, 222, 239
212, 223, 240
213, 224, 241
214, 225, 242
214, 226, 243
215, 227, 244
216, 228, 245
217, 229, 246
218, 230, 247
219, 230, 248
220, 231, 249
221, 232, 250
221, 233, 251
222, 234, 252
223, 235, 253
224, 236, 254
225, 237, 255
