# Name: CRT Lottes (Port)_V
# Original shader: crt-lottes (Timothy Lottes); libretro/glsl-shaders @ 2b2c5ee3fd8e
# Default Tri + 0.15*Bloom, true piecewise sRGB reference
# Fixed source-shaped V; phase DC refit over all 256 input codes
# Pair with identity gamma (off) and the matching exact-sRGB mask
# This file is an edited version. Not the original

10bit

   8,  240,    8,    0
   8,  240,    8,    0
   8,  240,    8,    0
   8,  240,    8,    0
   8,  240,    8,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  238,    9,    0
   7,  237,   10,    0
   7,  235,   10,    0
   7,  235,   10,    0
   7,  235,   10,    0
   7,  235,   10,    0
   7,  235,   10,    0
   6,  235,   11,    0
   6,  234,   11,    0
   6,  234,   11,    0
   6,  234,   11,    0
   6,  232,   11,    0
   6,  232,   11,    0
   6,  231,   12,    0
   6,  231,   12,    0
   6,  229,   12,    0
   6,  229,   12,    0
   6,  227,   12,    0
   5,  227,   13,    0
   6,  226,   13,    0
   6,  225,   13,    0
   6,  225,   13,    0
   5,  223,   14,    0
   5,  223,   14,    0
   5,  223,   14,    0
   5,  221,   14,    0
   5,  220,   15,    0
   5,  218,   15,    0
   5,  218,   15,    0
   5,  217,   15,    0
   5,  216,   16,    0
   5,  216,   16,    0
   5,  214,   16,    0
   5,  211,   17,    0
   5,  211,   17,    0
   5,  209,   17,    0
   5,  208,   17,    0
   5,  207,   18,    0
   5,  207,   18,    0
   4,  205,   19,    0
   5,  202,   19,    0
   4,  202,   20,    0
   4,  201,   20,    0
   4,  200,   20,    1
   4,  198,   21,    0
   4,  198,   21,    0
   4,  195,   22,    0
   4,  193,   22,    0
   4,  192,   22,    1
   4,  191,   23,    0
   4,  188,   23,    1
   4,  188,   24,    0
   3,  185,   23,    0
   3,  184,   24,    0
   3,  183,   24,    0
   3,  181,   25,    0
   3,  178,   25,    0
   3,  178,   26,    0
   3,  176,   27,    0
   3,  176,   27,    0
   2,  173,   28,    0
   2,  171,   28,    0
   2,  170,   29,    0
   2,  168,   30,    0
   2,  168,   30,    0
   2,  165,   30,    0
   2,  163,   31,    0
   2,  162,   32,    0
   2,  160,   32,    0
   2,  157,   33,    0
   2,  156,   34,    0
   2,  155,   34,    0
   2,  154,   35,    0
   2,  151,   36,    0
   2,  150,   36,    0
   2,  148,   37,    0
   2,  145,   38,    0
   2,  144,   39,    0
   2,  143,   39,    0
   2,  142,   40,    0
   2,  139,   40,    0
   2,  138,   41,    0
   2,  136,   42,    0
   2,  135,   43,    0
   2,  132,   44,    0
   2,  131,   45,    0
   2,  129,   45,    0
   1,  128,   47,    0
   1,  126,   48,    0
   2,  124,   49,    0
   1,  122,   50,    0
   2,  120,   50,    0
   2,  118,   51,    0
   1,  117,   53,    0
   1,  116,   54,    0
   1,  114,   54,    0
   1,  113,   55,    0
   1,  111,   57,    0
   1,  109,   58,    0
   1,  108,   59,    0
   1,  106,   60,    0
   1,  104,   61,    0
   1,  103,   62,    0
   1,  101,   64,    0
   1,  100,   65,    0
   1,   98,   65,    0
   1,   96,   67,    0
   1,   95,   68,    0
   1,   93,   69,    1
   1,   93,   70,    0
   1,   91,   71,    1
   1,   90,   73,    0
   1,   87,   73,    1
   1,   86,   75,    0
   1,   84,   76,    1
   1,   83,   78,    0
   1,   81,   79,    1
   1,   81,   81,    1
   1,   79,   81,    1
   0,   78,   83,    1
   1,   76,   84,    1
   0,   75,   86,    1
   1,   73,   87,    1
   0,   73,   90,    1
   1,   71,   91,    1
   0,   70,   93,    1
   1,   69,   93,    1
   0,   68,   95,    1
   0,   67,   96,    1
   0,   65,   98,    1
   0,   65,  100,    1
   0,   64,  101,    1
   0,   62,  103,    1
   0,   61,  104,    1
   0,   60,  106,    1
   0,   59,  108,    1
   0,   58,  109,    1
   0,   57,  111,    1
   0,   55,  113,    1
   0,   54,  114,    1
   0,   54,  116,    1
   0,   53,  117,    1
   0,   51,  118,    2
   0,   50,  120,    2
   0,   50,  122,    1
   0,   49,  124,    2
   0,   48,  126,    1
   0,   47,  128,    1
   0,   45,  129,    2
   0,   45,  131,    2
   0,   44,  132,    2
   0,   43,  135,    2
   0,   42,  136,    2
   0,   41,  138,    2
   0,   40,  139,    2
   0,   40,  142,    2
   0,   39,  143,    2
   0,   39,  144,    2
   0,   38,  145,    2
   0,   37,  148,    2
   0,   36,  150,    2
   0,   36,  151,    2
   0,   35,  154,    2
   0,   34,  155,    2
   0,   34,  156,    2
   0,   33,  157,    2
   0,   32,  160,    2
   0,   32,  162,    2
   0,   31,  163,    2
   0,   30,  165,    2
   0,   30,  168,    2
   0,   30,  168,    2
   0,   29,  170,    2
   0,   28,  171,    2
   0,   28,  173,    2
   0,   27,  176,    3
   0,   27,  176,    3
   0,   26,  178,    3
   0,   25,  178,    3
   0,   25,  181,    3
   0,   24,  183,    3
   0,   24,  184,    3
   0,   23,  185,    3
   0,   24,  188,    4
   1,   23,  188,    4
   0,   23,  191,    4
   1,   22,  192,    4
   0,   22,  193,    4
   0,   22,  195,    4
   0,   21,  198,    4
   0,   21,  198,    4
   1,   20,  200,    4
   0,   20,  201,    4
   0,   20,  202,    4
   0,   19,  202,    5
   0,   19,  205,    4
   0,   18,  207,    5
   0,   18,  207,    5
   0,   17,  208,    5
   0,   17,  209,    5
   0,   17,  211,    5
   0,   17,  211,    5
   0,   16,  214,    5
   0,   16,  216,    5
   0,   16,  216,    5
   0,   15,  217,    5
   0,   15,  218,    5
   0,   15,  218,    5
   0,   15,  220,    5
   0,   14,  221,    5
   0,   14,  223,    5
   0,   14,  223,    5
   0,   14,  223,    5
   0,   13,  225,    6
   0,   13,  225,    6
   0,   13,  226,    6
   0,   13,  227,    5
   0,   12,  227,    6
   0,   12,  229,    6
   0,   12,  229,    6
   0,   12,  231,    6
   0,   12,  231,    6
   0,   11,  232,    6
   0,   11,  232,    6
   0,   11,  234,    6
   0,   11,  234,    6
   0,   11,  234,    6
   0,   11,  235,    6
   0,   10,  235,    7
   0,   10,  235,    7
   0,   10,  235,    7
   0,   10,  235,    7
   0,   10,  235,    7
   0,   10,  237,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    9,  238,    7
   0,    8,  240,    8
   0,    8,  240,    8
